Lake_Name,Mean_Depth_m
Lake Anawanda,6.6
Augur Lake,3
Babcock Lake,4.6
Big Bowman Lake,5.0
Bradley Brook Reservoir,4.2
Brantingham Lake,8.6
Burden Third Lake,3
Canada Lake,21.3
Cazenovia Lake,7.1
Chenango Lake,4.3
Craine Lake,3.7
Crooked Lake,4.9
Cuba Lake,5.2
De Ruyter Reservoir,7.2
Eagle Lake,5.4
Eagle Pond,0.4
East Caroga Lake,3.9
Eaton Brook Reservoir,6.2
Echo Lake,4.8
Effley Falls Lake,4.4
Efner Lake,4.2
Forest Lake,2.2
Friends Lake,4.2
Galway Lake,2.6
Geneganslet Lake,8.5
Glen Lake,5.6
Grass Lake,7.2
Guilford Lake,8.9
Hadlock Pond,5
Hatch Lake,6.6
Hunt Lake,3.8
Indian Lake,9.2
Jenny Lake,5.5
Kasoag Lake,2.1
Lake Bonaparte,9.4
Lake Devenoge,8
Lake Forest,1.6
Lake of the Woods,13
Lake Placid,8.8
Lake Pleasant,8.8
Lake Sunnyside,4.6
Lincoln Pond,3
Little Long Pond,2.9
Loon Lake,6.1
Lorton Lake,1.4
Millsite Lake,12.8
Oquaga Lake,13.9
Otter Lake,1.4
Panther Lake,2.6
Peck Lake,5.8
Lake Petonia,4.5
Pleasant Lake,6.7
Plymouth Reservoir,1.3
Queechy Lake,5.6
Roaring Brook Lake,2
Round Pond,2.2
Rushford Lake,14.3
Sacandaga Lake,8.5
Schroon Lake,17
Sepasco Lake,4.2
Silver Lake,3.7
Somerset Lake,6.1
Song Lake,4
Spring Lake,4
Taconic Pond,4.7
Tully Lake,4.7
Tuscarora Lake,4.3
Tuxedo Lake,8.9
Upper Little York Lake,9.9
Warn Lake,3.7
Yankee Lake,1.8
