Lake_Name,Dreissenids
Augur Lake,Uninvaded
Babcock Lake,Uninvaded
Big Bowman Pond,Uninvaded
Bradley Brook Reservoir,Uninvaded
Brantingham Lake,Uninvaded
Burden Third Lake,Uninvaded
Canada Lake,Uninvaded
Cazenovia Lake,Invaded
Chenango Lake,Uninvaded
Craine Lake,Invaded
Crooked Lake,Uninvaded
Cuba Lake,Uninvaded
De Ruyter Reservoir,Invaded
Eagle Lake,Uninvaded
Eagle Pond,Uninvaded
East Caroga Lake,Uninvaded
Eaton Brook Reservoir,Invaded
Echo Lake,Uninvaded
Efner Lake,Uninvaded
Forest Lake,Uninvaded
Friends Lake,Uninvaded
Galway Lake,Uninvaded
Geneganslet Lake,Uninvaded
Glen Lake,Invaded
Grass Lake,Uninvaded
Guilford Lake,Uninvaded
Hadlock Pond,Uninvaded
Hatch Lake,Invaded
Hunt Lake,Uninvaded
Indian Lake,Uninvaded
Jenny Lake,Uninvaded
Kasoag Lake,Uninvaded
Lake Anawanda,Uninvaded
Lake Bonaparte,Uninvaded
Lake Devenoge,Uninvaded
Lake Forest,Uninvaded
Lake of the Woods,Uninvaded
Lake Petonia,Uninvaded
Lake Placid,Uninvaded
Lake Pleasant,Uninvaded
Lake Sunnyside,Uninvaded
Lincoln Pond,Uninvaded
Little Long Pond,Uninvaded
Loon Lake,Uninvaded
Lorton Lake,Uninvaded
Millsite Lake,Uninvaded
Oquaga Lake,Uninvaded
Otter Lake,Uninvaded
Panther Lake,Uninvaded
Peck Lake,Uninvaded
Pleasant Lake,Uninvaded
Queechy Lake,Uninvaded
Roaring Brook Lake,Uninvaded
Round Pond,Uninvaded
Rushford Lake,Uninvaded
Sacandaga Lake,Uninvaded
Schroon Lake,Uninvaded
Sepasco Lake,Uninvaded
Silver Lake,Uninvaded
Somerset Lake,Uninvaded
Song Lake,Uninvaded
Spring Lake,Uninvaded
Taconic Lake,Uninvaded
Tully Lake,Uninvaded
Tuscarora Lake,Invaded
Tuxedo Lake,Uninvaded
Upper Little York Lake,Uninvaded
Warn Lake,Uninvaded
Yankee Lake,Uninvaded
